#,Reference,Qty,Value,Footprint,DNP,
1,C1,1,10uF,Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm,,
2,"C2, C4, C5",3,0.1uF,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,,
3,C3,1,電解10uF,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,,
4,"D1, D2",2,LED,LED_THT:LED_D1.8mm_W3.3mm_H2.4mm,,
5,D3,1,LED,LED_THT:LED_D3.0mm,,
6,"H1, H2, H3, H4",4,MountingHole,MountingHole:MountingHole_3.2mm_M3,,
7,J1,1,HEADER_3x2,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,,
8,J3,1,"HEADER_3,RAM0a18",Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,
9,J5,1,"HEADER_6,SIOA",Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,,
10,J6,1,"HEADER_3,RAM0a17",Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,
11,J7,1,"HEADER_3,RAM0a16",Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,
12,J11,1,Barrel_Jack,Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal,,
13,R1,1,10K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,
14,R2,1,10K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,
15,"R16, R18",2,"R,330",Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,
16,R17,1,330,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,
17,"RN1, RN4",2,"R_Network04,10K",Resistor_THT:R_Array_SIP5,,
18,RN2,1,R_Network_22K,Resistor_THT:R_Array_SIP9,,
19,RN3,1,R_Network04.10K,Resistor_THT:R_Array_SIP5,,
20,SW1,1,Reset,Button_Switch_THT:SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,,
21,SW2,1,EF4,Button_Switch_THT:SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,,
22,U1,1,AS6C4008-55PCN,Package_DIP:DIP-32_W15.24mm,,
23,U3,1,CDP1802ACE,Package_DIP:DIP-40_W15.24mm_Socket,,
24,U4,1,"EXO3
クリスタルオシレータ
 14.31818MHz",Package_DIP:DIP-8_W7.62mm,,https://akizukidenshi.com/catalog/g/g101685/
25,U5,1,74LS573,Package_DIP:DIP-20_W7.62mm,,
26,U6,1,GAL16V8D-10QPN,Package_DIP:DIP-20_W7.62mm_Socket,,
27,U8,1,27C512,Package_DIP:DIP-28_W15.24mm_Socket,,
